Date,Competition,Home Team,Away Team,Home Goals,Away Goals,Possession % (Home),Possession % (Away),Shots (Home),Shots (Away),Corners (Home),Corners (Away),Fouls (Home),Fouls (Away),Winner,Year
2025-06-02,Serie A,Arsenal,Bayern Munich,1,0,67,32,19,14,5,4,6,12,Home Team,2021
2018-09-05,UEFA Champions League,Chelsea,Bayern Munich,2,3,69,43,17,13,6,8,8,9,Home Team,2021
2023-02-16,Premier League,Bayern Munich,Barcelona,0,1,55,48,12,23,3,9,5,5,Draw,2020
2016-01-27,Bundesliga,PSG,Barcelona,5,5,60,59,7,19,7,8,5,12,Away Team,2022
2023-03-03,Bundesliga,Arsenal,Paris Saint-Germain,4,0,46,46,21,13,9,3,11,10,Draw,2019
2021-12-26,Bundesliga,Liverpool,Barcelona,5,2,68,48,24,24,2,6,9,8,Home Team,2025
2015-05-11,Serie A,Real Madrid,Liverpool,3,3,41,32,7,12,5,6,11,9,Home Team,2023
2016-04-03,Bundesliga,Chelsea,Paris Saint-Germain,4,1,69,38,15,8,10,9,13,5,Home Team,2021
2018-09-21,Bundesliga,Manchester City,Chelsea,3,3,57,59,25,12,6,5,10,14,Draw,2019
2017-11-21,Bundesliga,Bayern Munich,Chelsea,2,3,47,44,15,15,5,3,14,5,Away Team,2017
2019-06-12,Serie A,Manchester City,AC Milan,4,1,44,30,21,25,2,9,13,11,Home Team,2017
2025-12-26,La Liga,PSG,Bayern Munich,4,4,69,33,15,18,10,3,7,12,Away Team,2018
2025-07-14,Bundesliga,Bayern Munich,Barcelona,1,1,42,39,13,24,7,8,10,14,Draw,2024
2016-04-28,Bundesliga,Juventus,Paris Saint-Germain,5,0,58,54,21,13,3,10,6,14,Draw,2019
2021-02-28,La Liga,Barcelona,Barcelona,4,1,45,44,9,12,6,7,14,6,Home Team,2015
2020-12-14,La Liga,Chelsea,Man City,4,0,44,41,14,22,7,7,14,12,Away Team,2023
2019-02-26,Bundesliga,Liverpool,Bayern Munich,3,5,58,35,8,19,7,4,10,13,Home Team,2022
2016-09-08,Premier League,Real Madrid,Man City,1,2,43,39,11,24,9,4,10,5,Home Team,2022
2019-07-31,Bundesliga,PSG,Juventus,0,1,52,38,24,7,8,3,15,15,Away Team,2022
2024-08-26,La Liga,Bayern Munich,Liverpool,1,3,62,46,16,19,7,7,5,9,Home Team,2022
2017-11-07,Premier League,Real Madrid,Liverpool,1,5,46,44,22,7,6,2,14,5,Draw,2018
2019-12-16,Serie A,Bayern Munich,AC Milan,0,2,65,35,7,19,4,2,13,7,Away Team,2024
2015-12-01,Serie A,Bayern Munich,Liverpool,1,2,57,47,24,18,3,6,9,5,Draw,2025
2021-04-10,Bundesliga,Liverpool,Chelsea,3,3,44,49,7,23,3,10,11,15,Home Team,2020
2021-03-26,UEFA Champions League,Bayern Munich,Chelsea,4,3,40,50,7,22,8,10,6,8,Draw,2017
2024-04-24,Premier League,Liverpool,Barcelona,5,1,40,35,10,18,2,2,6,5,Home Team,2017
2022-01-05,Serie A,Juventus,Bayern Munich,5,0,45,42,8,16,7,10,13,11,Home Team,2018
2015-01-17,UEFA Champions League,Bayern Munich,Borussia Dortmund,4,3,64,30,5,15,8,6,7,13,Home Team,2019
2015-07-31,La Liga,Liverpool,Arsenal,3,3,45,42,13,19,8,8,15,12,Away Team,2016
2024-07-23,Serie A,Real Madrid,Bayern Munich,3,3,43,54,8,19,2,6,8,15,Away Team,2021
2025-11-24,Bundesliga,AC Milan,Juventus,2,3,58,58,13,16,9,10,11,10,Home Team,2021
2016-11-29,Serie A,Manchester City,Borussia Dortmund,4,3,55,58,7,5,3,5,10,15,Home Team,2017
2015-06-26,Premier League,Chelsea,Arsenal,5,3,65,58,21,24,10,4,15,5,Draw,2017
2024-08-03,Bundesliga,Barcelona,Barcelona,2,2,45,57,7,17,4,9,11,5,Home Team,2021
2017-10-23,Serie A,Manchester City,Chelsea,1,4,49,54,8,19,4,10,14,15,Away Team,2018
2023-02-02,La Liga,Barcelona,Bayern Munich,5,0,67,55,5,20,8,2,13,12,Draw,2022
2019-06-08,Bundesliga,Bayern Munich,Man City,5,1,49,44,5,15,3,8,8,10,Home Team,2022
2022-11-04,La Liga,Barcelona,Man City,1,2,40,54,10,18,3,6,8,9,Draw,2016
2017-06-05,Premier League,Barcelona,Liverpool,1,0,70,55,13,14,10,6,7,13,Draw,2021
2015-09-11,Bundesliga,Chelsea,Paris Saint-Germain,4,4,66,30,8,11,2,10,6,11,Home Team,2019
2016-10-02,Bundesliga,Manchester City,Arsenal,3,4,51,43,5,21,10,10,13,12,Away Team,2020
2017-01-10,La Liga,Real Madrid,Chelsea,0,3,70,33,24,20,3,2,12,15,Draw,2019
2018-05-19,UEFA Champions League,Juventus,Borussia Dortmund,1,4,67,30,12,19,4,2,12,10,Home Team,2021
2022-11-07,UEFA Champions League,PSG,Bayern Munich,5,4,63,32,19,8,9,2,15,10,Away Team,2021
2015-10-28,UEFA Champions League,Arsenal,Man City,3,1,46,34,12,16,10,9,8,15,Home Team,2022
2023-01-16,La Liga,Juventus,Chelsea,3,0,53,34,15,6,8,2,10,6,Away Team,2025
2016-09-07,Bundesliga,Bayern Munich,AC Milan,4,1,64,48,13,23,10,6,13,13,Home Team,2023
2017-08-03,Premier League,PSG,Paris Saint-Germain,3,2,47,44,22,17,2,6,13,10,Draw,2019
2018-03-10,La Liga,Barcelona,Borussia Dortmund,0,3,46,52,19,20,10,8,13,14,Away Team,2024
2025-07-28,UEFA Champions League,Barcelona,Juventus,1,3,66,52,6,24,3,6,11,15,Home Team,2018
2020-05-11,Premier League,Bayern Munich,Paris Saint-Germain,3,2,55,38,17,13,4,9,5,12,Draw,2015
2022-01-22,UEFA Champions League,PSG,AC Milan,3,4,47,34,7,25,3,5,7,13,Away Team,2025
2024-05-10,Serie A,Arsenal,Barcelona,4,4,54,50,9,20,3,7,14,13,Draw,2022
2025-11-09,La Liga,Barcelona,Man City,5,0,42,39,6,7,7,8,13,15,Draw,2022
2022-08-25,Premier League,PSG,Barcelona,1,0,52,42,17,5,8,2,10,8,Away Team,2016
2018-02-15,La Liga,Real Madrid,Chelsea,3,3,45,40,21,9,8,3,11,11,Draw,2015
2025-04-27,UEFA Champions League,Arsenal,Liverpool,0,5,67,59,8,7,3,6,15,9,Draw,2018
2017-03-15,UEFA Champions League,Juventus,Chelsea,5,5,43,60,14,7,8,5,14,11,Away Team,2020
2020-03-04,Serie A,AC Milan,Juventus,2,2,55,50,9,13,2,6,7,7,Home Team,2017
2021-09-22,UEFA Champions League,Real Madrid,Man City,4,5,53,34,16,6,3,2,14,6,Home Team,2019
2024-03-14,La Liga,Real Madrid,Barcelona,5,0,46,41,24,12,6,5,11,10,Home Team,2016
2024-02-28,UEFA Champions League,Bayern Munich,Chelsea,3,3,62,38,18,15,4,5,13,6,Draw,2020
2022-05-18,UEFA Champions League,Juventus,Barcelona,4,1,44,41,7,24,8,7,12,14,Away Team,2016
2019-04-18,La Liga,Bayern Munich,Chelsea,5,4,55,50,11,14,4,4,8,7,Away Team,2022
2018-03-08,Premier League,Manchester City,Arsenal,2,4,54,43,18,10,3,5,10,7,Away Team,2024
2021-03-17,La Liga,PSG,Arsenal,0,4,41,58,22,23,7,6,8,5,Away Team,2023
2023-02-12,UEFA Champions League,PSG,Liverpool,0,4,63,44,21,23,6,4,9,5,Home Team,2022
2015-08-07,La Liga,Arsenal,Chelsea,2,1,67,54,16,6,3,4,14,7,Draw,2018
2021-10-22,UEFA Champions League,Manchester City,Paris Saint-Germain,4,4,46,36,11,20,10,4,14,11,Home Team,2017
2023-03-31,Premier League,Arsenal,Juventus,3,0,60,40,6,11,4,6,13,11,Home Team,2016
2020-03-01,Bundesliga,Liverpool,Man City,3,0,47,50,24,24,3,6,6,7,Away Team,2025
2023-01-16,Premier League,Manchester City,Borussia Dortmund,5,3,68,40,23,22,10,5,6,5,Home Team,2025
2022-03-05,Bundesliga,Bayern Munich,Man City,2,1,61,35,9,23,5,7,14,6,Away Team,2016
2020-07-07,UEFA Champions League,Manchester City,Man City,3,4,58,58,16,24,5,7,5,6,Home Team,2017
2024-06-11,Serie A,Liverpool,Man City,0,2,54,50,23,7,10,10,9,9,Away Team,2015
2022-02-24,UEFA Champions League,AC Milan,AC Milan,4,0,56,30,12,12,7,4,14,14,Draw,2019
2017-11-11,La Liga,Juventus,Bayern Munich,4,2,60,58,7,19,2,7,13,6,Draw,2020
2024-07-09,Premier League,Barcelona,Bayern Munich,3,0,44,53,5,22,10,9,7,14,Draw,2020
2021-05-19,Serie A,Manchester City,Bayern Munich,3,0,66,36,5,21,4,7,12,11,Draw,2025
2017-10-09,Serie A,Bayern Munich,Arsenal,2,5,56,31,22,10,9,2,11,11,Away Team,2020
2018-12-26,UEFA Champions League,AC Milan,Chelsea,0,1,50,40,17,11,10,6,8,8,Away Team,2015
2015-04-02,Bundesliga,Liverpool,Man City,3,3,61,34,24,10,4,5,7,5,Home Team,2016
2020-12-03,Premier League,Liverpool,Barcelona,2,1,43,60,17,24,3,7,10,5,Draw,2024
2015-03-06,Premier League,Arsenal,AC Milan,5,1,49,54,25,25,7,5,9,12,Draw,2018
2023-09-04,La Liga,Real Madrid,Barcelona,5,2,62,58,11,21,8,5,5,5,Away Team,2021
2015-08-01,La Liga,Bayern Munich,Liverpool,3,2,42,53,23,14,2,8,7,11,Away Team,2019
2023-09-15,UEFA Champions League,Barcelona,Arsenal,0,1,51,54,13,9,5,9,7,7,Home Team,2023
2025-02-03,Premier League,Manchester City,Arsenal,3,0,55,58,22,14,5,7,6,13,Home Team,2022
2023-03-31,Premier League,Chelsea,Paris Saint-Germain,0,2,46,41,12,17,10,10,9,5,Draw,2015
2022-01-22,La Liga,PSG,Liverpool,1,2,64,59,17,25,9,3,13,11,Draw,2020
2021-05-14,La Liga,Bayern Munich,Liverpool,3,5,49,38,14,23,7,4,7,14,Away Team,2016
2017-07-14,Bundesliga,PSG,Juventus,0,4,64,49,18,23,10,7,9,14,Away Team,2024
2023-01-18,Bundesliga,Arsenal,AC Milan,2,5,64,53,24,9,6,9,7,12,Away Team,2018
2018-04-17,La Liga,Real Madrid,Liverpool,5,5,59,60,19,8,4,7,7,15,Home Team,2021
2023-04-20,Bundesliga,Manchester City,Paris Saint-Germain,5,1,48,40,6,16,8,9,15,5,Home Team,2024
2015-02-12,Bundesliga,Manchester City,Liverpool,3,4,55,59,6,19,7,10,14,10,Away Team,2017
2018-02-22,Serie A,Arsenal,Liverpool,4,5,41,45,11,8,6,7,15,12,Away Team,2023
2016-05-17,Bundesliga,Real Madrid,Barcelona,4,2,61,43,20,15,3,4,14,5,Home Team,2017
2023-10-03,UEFA Champions League,Arsenal,Paris Saint-Germain,4,5,41,31,5,21,7,10,12,9,Draw,2016
2018-03-13,Serie A,Liverpool,Arsenal,4,3,47,50,16,22,6,6,11,9,Home Team,2016
2018-11-10,Serie A,Real Madrid,Arsenal,4,4,45,46,14,16,10,10,10,15,Draw,2018
2016-12-11,Bundesliga,Chelsea,Arsenal,3,1,58,45,15,21,8,7,14,8,Away Team,2019
2022-01-13,Bundesliga,Juventus,Man City,4,4,61,40,13,20,6,10,9,6,Away Team,2016
2023-07-14,Bundesliga,Chelsea,Paris Saint-Germain,3,5,43,45,23,8,6,9,13,12,Draw,2019
2022-04-16,UEFA Champions League,Arsenal,AC Milan,0,1,61,33,25,5,5,5,13,9,Draw,2025
2018-02-28,Serie A,Bayern Munich,Man City,4,2,69,42,17,9,10,9,8,15,Home Team,2016
2016-09-16,Bundesliga,Bayern Munich,Chelsea,3,0,51,52,15,13,7,5,9,14,Away Team,2015
2018-04-18,La Liga,Manchester City,Chelsea,4,4,51,48,9,10,8,8,12,8,Draw,2016
2023-09-01,La Liga,Manchester City,Liverpool,4,3,55,38,16,17,9,10,12,13,Draw,2017
2016-09-15,Premier League,Chelsea,Liverpool,3,1,67,35,16,10,2,6,12,11,Draw,2024
2021-07-14,UEFA Champions League,Manchester City,Arsenal,4,1,65,41,21,14,2,2,15,11,Home Team,2022
2016-08-30,Premier League,Chelsea,AC Milan,1,0,55,32,11,8,8,4,15,10,Away Team,2018
2022-07-22,Premier League,Bayern Munich,Man City,5,2,42,32,14,9,10,4,10,9,Away Team,2025
2020-11-18,UEFA Champions League,Liverpool,Barcelona,3,5,68,36,8,10,8,5,7,9,Draw,2016
2023-01-26,La Liga,Chelsea,Juventus,5,2,70,32,24,19,8,8,5,8,Home Team,2016
2025-09-11,Bundesliga,AC Milan,Liverpool,0,5,43,52,18,10,8,5,12,15,Draw,2024
2015-03-27,La Liga,PSG,Paris Saint-Germain,0,2,45,47,22,25,10,2,13,9,Away Team,2021
2018-02-08,La Liga,Bayern Munich,Man City,3,4,62,42,11,12,9,2,14,7,Away Team,2023
2015-02-04,UEFA Champions League,Chelsea,Juventus,3,2,48,57,17,14,6,6,5,11,Away Team,2019
2024-06-13,La Liga,Barcelona,Paris Saint-Germain,1,2,60,34,22,6,5,5,13,11,Home Team,2025
2016-03-12,UEFA Champions League,Real Madrid,Paris Saint-Germain,4,4,48,44,24,19,10,10,14,10,Draw,2023
2017-03-05,UEFA Champions League,Chelsea,Chelsea,1,3,45,34,14,16,5,7,9,14,Home Team,2024
2024-09-24,Serie A,Liverpool,Juventus,1,4,44,36,13,10,5,9,12,8,Draw,2022
2020-09-15,Premier League,PSG,Arsenal,4,5,53,31,12,10,6,6,6,14,Away Team,2025
2022-02-28,Bundesliga,PSG,Liverpool,0,3,52,32,22,5,5,4,5,15,Away Team,2024
2023-08-05,La Liga,Arsenal,Borussia Dortmund,5,1,40,36,18,16,10,6,6,13,Away Team,2025
2024-04-30,Bundesliga,Liverpool,Juventus,4,5,52,40,18,21,7,10,9,8,Home Team,2020
2025-02-11,Serie A,Real Madrid,Man City,3,2,65,45,24,22,6,7,9,13,Away Team,2017
2015-06-09,Serie A,Arsenal,Borussia Dortmund,5,3,49,36,5,10,5,4,8,15,Home Team,2021
2017-04-29,UEFA Champions League,AC Milan,Borussia Dortmund,1,0,58,42,11,9,9,6,5,12,Home Team,2015
2023-03-24,La Liga,PSG,Liverpool,4,5,67,59,17,22,9,4,15,15,Home Team,2021
2021-04-23,UEFA Champions League,Juventus,Chelsea,0,3,48,49,8,5,5,8,5,9,Away Team,2018
2018-02-25,La Liga,Real Madrid,Barcelona,3,4,59,51,12,5,5,10,12,9,Home Team,2023
2022-09-11,Premier League,Barcelona,Liverpool,3,0,64,42,13,13,5,7,5,6,Away Team,2022
2017-08-09,Bundesliga,Manchester City,Liverpool,5,1,66,47,18,7,5,8,15,7,Away Team,2022
2016-06-18,UEFA Champions League,Manchester City,Chelsea,5,4,56,45,13,22,9,3,8,11,Home Team,2025
2015-08-17,Bundesliga,Manchester City,Chelsea,5,4,53,59,14,21,3,6,7,14,Draw,2019
2016-09-29,Premier League,Manchester City,Barcelona,3,2,66,56,17,8,6,6,12,12,Away Team,2023
2017-01-28,Premier League,Juventus,Man City,4,0,63,34,16,9,10,2,6,10,Draw,2024
2022-10-15,Premier League,Manchester City,Borussia Dortmund,0,1,62,35,19,13,9,8,10,14,Home Team,2017
2020-08-11,UEFA Champions League,Chelsea,Arsenal,4,4,65,45,20,22,3,4,7,12,Away Team,2025
2016-11-09,La Liga,Manchester City,AC Milan,0,4,55,50,5,24,2,5,8,13,Draw,2015
2016-09-02,Bundesliga,Real Madrid,Chelsea,1,3,69,57,8,7,6,2,10,5,Away Team,2020
2016-09-09,Bundesliga,Juventus,Paris Saint-Germain,1,3,69,51,23,15,6,2,7,10,Away Team,2023
2019-11-24,Bundesliga,Bayern Munich,Man City,4,0,62,57,7,14,4,8,14,5,Home Team,2020
2018-12-06,Bundesliga,Real Madrid,AC Milan,4,3,53,40,20,9,8,5,11,11,Away Team,2019
2024-10-16,UEFA Champions League,Chelsea,Liverpool,2,4,46,44,15,19,5,6,15,9,Away Team,2020
2019-01-06,UEFA Champions League,Manchester City,Chelsea,4,2,60,52,5,6,2,10,15,11,Home Team,2015
2019-08-28,UEFA Champions League,PSG,Liverpool,3,2,57,46,23,17,4,5,8,5,Away Team,2025
2021-05-21,Premier League,AC Milan,Liverpool,5,5,67,41,22,24,7,10,13,15,Draw,2019
2016-03-30,Serie A,Real Madrid,Paris Saint-Germain,2,1,64,38,6,14,5,4,14,14,Away Team,2022
2017-08-22,UEFA Champions League,PSG,AC Milan,1,1,69,52,13,10,5,9,13,12,Away Team,2020
2024-10-23,Serie A,Chelsea,Barcelona,5,3,68,42,13,5,6,4,14,11,Draw,2018
2015-04-02,Bundesliga,Chelsea,Juventus,2,4,42,56,12,21,2,4,10,15,Home Team,2015
